"Rk","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
124,"Jock Landale",30,"MEM","C",5,5,117,4.9,9.5,0.516,1.2,3.4,0.364,3.7,6.2,0.6,0.581,2.8,3.4,0.818,4.3,3.7,8,2.2,0,1.2,1.5,4.9,13.8,NA
125,"Dean Wade",29,"CLE","PF",5,0,116,2.8,7.1,0.391,2.2,6.2,0.35,0.6,0.9,0.667,0.543,1.9,2.8,0.667,1.2,4.3,5.6,1.2,0.9,0.3,0.6,3.7,9.6,NA
126,"Julian Champagnie",24,"SAS","SF",4,4,116,3.4,7.1,0.478,1.9,5,0.375,1.6,2.2,0.714,0.609,1.9,2.8,0.667,0.6,7.8,8.4,2.5,0.6,0.3,0.6,1.2,10.6,NA
127,"Andrew Wiggins",30,"MIA","SF",4,4,116,6.8,13.7,0.5,1.6,5,0.313,5.3,8.7,0.607,0.557,2.8,4.3,0.643,1.9,3.7,5.6,2.5,1.6,1.2,2.5,2.8,18,NA
128,"Naz Reid",26,"MIN","C",5,0,115,5.9,14.7,0.404,1.6,6.3,0.25,4.4,8.5,0.519,0.457,2.2,3.8,0.583,2.8,6.6,9.4,2.5,1.6,1.6,2.8,4.1,15.7,NA
129,"Jalen Duren",22,"DET","C",5,5,113,7.6,13.4,0.571,0,0,NA,7.6,13.4,0.571,0.571,8.3,9.9,0.839,7,8.9,15.9,1.9,1,2.5,4.8,5.4,23.6,NA
130,"Jarred Vanderbilt",26,"LAL","PF",5,2,113,3.2,8,0.4,0,1.6,0,3.2,6.4,0.5,0.4,2.5,3.2,0.8,3.8,7.3,11.2,2.9,2.9,0.6,3.5,3.2,8.9,NA
131,"Gary Trent Jr.",27,"MIL","SG",4,4,113,6.1,14.3,0.422,3.8,10.8,0.353,2.2,3.5,0.636,0.556,1.3,2.2,0.571,0,2.9,2.9,3.5,1.6,0,1.3,3.8,17.2,NA
132,"Jaylon Tyson",23,"CLE","SG",5,3,112,4.8,9,0.536,1.9,4.8,0.4,2.9,4.2,0.692,0.643,1.3,1.9,0.667,1.3,2.9,4.2,1.6,1.9,0.6,2.6,6.8,12.9,NA
133,"Matas Buzelis",21,"CHI","SF",4,4,112,8,15.8,0.51,1.9,5.8,0.333,6.1,10,0.613,0.571,3.5,4.2,0.846,1.9,4.2,6.1,1.9,1,1.3,2.9,5.1,21.5,NA
134,"Jaime Jaquez Jr.",24,"MIA","SF",4,0,112,10,14.5,0.689,0.6,2.6,0.25,9.3,11.9,0.784,0.711,3.5,4.2,0.846,1.6,6.4,8,5.5,1.6,0,2.9,2.9,24.1,NA
135,"Ivica Zubac",28,"LAC","C",4,4,111,9.1,14.3,0.636,0,0,NA,9.1,14.3,0.636,0.636,1.9,2.3,0.857,3.2,7.1,10.4,3.6,0,1.3,2.9,1.6,20.1,NA
